fecha,palo,distancia,velocidad
2026-08-02,Hierro7,152,110
2026-08-02,Driver,238,148
2026-08-02,PW,118,92
2026-08-02,Hierro5,171,121
2026-08-02,Driver,221,141
2026-08-02,Hierro9,131,99
2026-08-09,Madera3,209,137
2026-08-09,Hierro7,147,108
2026-08-09,SW,82,71
2026-08-09,Hibrido,186,128
2026-08-09,Driver,245,151
2026-08-09,Hierro5,165,118
2026-08-16,PW,112,89
2026-08-16,Hierro9,135,101
2026-08-16,Hierro7,158,113
2026-08-16,Madera3,201,134
2026-08-16,SW,78,69
2026-08-16,Driver,229,145
2026-08-23,Hibrido,191,130
2026-08-23,Hierro5,168,119
2026-08-23,Hierro7,150,109
2026-08-23,PW,121,94
2026-08-23,Driver,212,138
2026-08-30,Hierro9,128,97
2026-08-30,SW,85,73
2026-08-30,Madera3,214,139
2026-08-30,Hibrido,180,125
2026-08-30,Hierro7,155,112
2026-08-30,Driver,241,149
2026-08-30,PW,115,90
